County_State,FIPS,State FIPS,County FIPS,Percent_Democrat,Percent_Republican,Percent_Households_Married_Family,Percent_BachelorsDegree,Percent_Born_in_US,Percent_In_Labor_Force,Median_Household_Income,Percent_No_Health_Insurance,Percent_Below_Poverty,Percent_Female,Percent_White,Percent_Hispanic
"Autauga County, AL",1001,1,1,0.23956855,0.734357893,23.2,13.6,97,63.4,52475,10.7,9.1,51.4,78,2.5
"Baldwin County, AL",1003,1,3,0.195653098,0.77351472,18.2,19.1,95.7,60,50183,14.7,10.2,51.2,86.6,4.5
"Barbour County, AL",1005,1,5,0.466602502,0.522714148,14,7.9,96.7,49.3,35634,15.5,19.1,46.3,47.2,4.7
"Bibb County, AL",1007,1,7,0.214220393,0.769661637,18.4,5.8,98.5,48.3,37984,12.9,13,46.1,76.7,2
"Blount County, AL",1009,1,9,0.084699023,0.898518752,23.1,8.1,95.2,54.2,44409,12.1,13.2,50.4,95.3,8.5
"Bullock County, AL",1011,1,11,0.750904063,0.242288875,6.6,5.9,95.1,53.9,34804,17.6,18.3,45.8,26.2,4
"Butler County, AL",1013,1,13,0.427864134,0.563154865,11.4,8.3,98.9,54.4,31571,12.8,21.3,53.3,54.6,1.1
"Calhoun County, AL",1015,1,15,0.278558764,0.692396994,15.8,10.7,96.5,57.4,40919,13.2,17,51.8,75.2,3.4
"Chambers County, AL",1017,1,17,0.418275512,0.56633764,10.2,7.8,98.8,54.8,32835,15.1,19.5,52.3,58,0.5
"Cherokee County, AL",1019,1,19,0.1451014,0.838712749,17.7,8.1,98.6,54.2,34983,12.8,17,50.2,93,1.4
"Chilton County, AL",1021,1,21,0.159353602,0.825417694,22.4,8.8,94.1,57.3,41785,15.7,14.9,50.7,84.6,7.7
"Choctaw County, AL",1023,1,23,0.427765548,0.564391855,12.7,8.1,99.2,49.2,34325,13.5,15.6,52.2,55.8,0.4
"Clarke County, AL",1025,1,25,0.441558442,0.549551639,12.3,8.1,99.2,51.3,30951,15.9,21,52.8,53.7,0.4
"Clay County, AL",1027,1,27,0.187766281,0.795800365,15.8,5.4,97.8,52.1,35286,13.3,15,50.9,81.9,3.1
"Cleburne County, AL",1029,1,29,0.104715248,0.878444581,20.6,5.7,98.9,54.3,37008,13.8,11.8,50.8,94,2.2
"Coffee County, AL",1031,1,31,0.204455711,0.771462,18,14.2,93.4,57.9,45558,13,15.3,50.4,77,6.4
"Colbert County, AL",1033,1,33,0.296272233,0.678875985,16.5,11.1,97.7,53.6,39914,11.8,14.5,51.6,79.6,2.3
