"Notes"	"County"	"County Code"	"Month"	"Month Code"	Births
	"Baldwin County, AL"	"01003"	"January"	"1"	208
	"Baldwin County, AL"	"01003"	"February"	"2"	163
	"Baldwin County, AL"	"01003"	"March"	"3"	193
	"Baldwin County, AL"	"01003"	"April"	"4"	178
	"Baldwin County, AL"	"01003"	"May"	"5"	205
	"Baldwin County, AL"	"01003"	"June"	"6"	170
	"Baldwin County, AL"	"01003"	"July"	"7"	189
	"Baldwin County, AL"	"01003"	"August"	"8"	210
	"Baldwin County, AL"	"01003"	"September"	"9"	209
	"Baldwin County, AL"	"01003"	"October"	"10"	216
	"Baldwin County, AL"	"01003"	"November"	"11"	188
	"Baldwin County, AL"	"01003"	"December"	"12"	152
"Total"	"Baldwin County, AL"	"01003"			2281
	"Calhoun County, AL"	"01015"	"January"	"1"	119
	"Calhoun County, AL"	"01015"	"February"	"2"	126
	"Calhoun County, AL"	"01015"	"March"	"3"	130
	"Calhoun County, AL"	"01015"	"April"	"4"	112
	"Calhoun County, AL"	"01015"	"May"	"5"	125
	"Calhoun County, AL"	"01015"	"June"	"6"	132
	"Calhoun County, AL"	"01015"	"July"	"7"	123
	"Calhoun County, AL"	"01015"	"August"	"8"	172
	"Calhoun County, AL"	"01015"	"September"	"9"	123
	"Calhoun County, AL"	"01015"	"October"	"10"	121
	"Calhoun County, AL"	"01015"	"November"	"11"	139
	"Calhoun County, AL"	"01015"	"December"	"12"	141
"Total"	"Calhoun County, AL"	"01015"			1563
	"Etowah County, AL"	"01055"	"January"	"1"	100
	"Etowah County, AL"	"01055"	"February"	"2"	93
	"Etowah County, AL"	"01055"	"March"	"3"	127
	"Etowah County, AL"	"01055"	"April"	"4"	94
	"Etowah County, AL"	"01055"	"May"	"5"	109
	"Etowah County, AL"	"01055"	"June"	"6"	100
	"Etowah County, AL"	"01055"	"July"	"7"	92
	"Etowah County, AL"	"01055"	"August"	"8"	118
	"Etowah County, AL"	"01055"	"September"	"9"	114
	"Etowah County, AL"	"01055"	"October"	"10"	83
	"Etowah County, AL"	"01055"	"November"	"11"	115
	"Etowah County, AL"	"01055"	"December"	"12"	106
"Total"	"Etowah County, AL"	"01055"			1251
	"Jefferson County, AL"	"01073"	"January"	"1"	800
	"Jefferson County, AL"	"01073"	"February"	"2"	721
	"Jefferson County, AL"	"01073"	"March"	"3"	785
	"Jefferson County, AL"	"01073"	"April"	"4"	737
