Station ID                RECORD PERIOD   JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC    YEAR
AGUILAR 1 SE              | 1980-2005 |  11.4  13.9  19.0  13.2   3.0   0.0   0.0   0.0   0.2   2.9  14.5  14.8    92.9
AGUILAR 18 WSW            | 1998-2010 |  15.7  11.8  22.1  19.4   4.8   0.0   0.0   0.0   0.3   6.0   8.9  16.4   105.4
AKRON 4 E                 | 1948-2010 |   4.3   4.1   5.5   3.8   0.2   0.0   0.0   0.0   0.2   1.4   5.4   5.9    30.8
AKRON 1 N                 | 1948-1999 |   5.6   4.6   9.5   4.4   0.8   0.0   0.0   0.0   0.6   2.8   6.3   5.8    40.4
ALAMOSA WSO AP            | 1948-2010 |   4.3   4.0   5.6   4.0   1.4   0.0   0.0   0.0   0.1   2.7   3.8   5.3    31.2
ALLENSPARK LODGE          | 1948-1993 |  19.1  14.8  27.2  22.4   9.4   1.4   0.0   0.0   3.1   9.5  16.6  16.2   139.7
ALLENSPARK 1 NW           | 1994-2004 |  21.3  17.6  32.1  40.4  12.6   1.3   0.0   0.0   8.1   9.2  19.5  12.6   174.7
ALTENBERN                 | 1948-2010 |  16.4  10.9   8.1   3.0   0.6   0.0   0.0   0.0   0.1   1.2   7.4  14.9    62.6
AMES                      | 1948-1986 |  32.0  26.6  33.1  20.6   7.5   0.3   0.0   0.0   0.6   9.7  22.6  28.1   181.1
AMY                       | 1948-1973 |   3.6   2.1   4.5   1.7   0.0   0.0   0.0   0.0   0.9   1.9   2.2   2.0    18.9
ANTERO RESERVOIR          | 1961-2010 |   4.2   5.3   8.8   7.8   2.8   0.3   0.0   0.0   0.9   5.1   5.4   6.7    47.3
ARAPAHO 14 N              | 1992-2007 |   4.7   5.0   4.7   4.3   0.5   0.0   0.0   0.0   0.3   2.1   4.2   3.6    29.4
ARAPAHOE                  | 1948-2010 |   3.5   3.7   3.9   2.9   0.1   0.0   0.0   0.0   0.0   1.5   2.0   4.5    22.1
AROYA 6 NE                | 1948-1972 |   1.8   1.1   3.1   1.3   0.2   0.0   0.0   0.0   0.4   0.9   1.7   1.2    11.7
ASPEN                     | 1948-1979 |  25.0  21.1  23.3  12.6   3.1   0.6   0.0   0.0   1.8   7.1  18.4  24.1   137.1
ASPEN 1 SW                | 1980-2010 |  26.1  27.6  28.0  20.0   7.8   0.8   0.0   0.0   1.1  10.7  26.8  27.2   176.1
AYER RANCH                | 1948-1970 |   5.8   6.8  11.8  10.1   3.1   0.0   0.0   0.0   1.0   4.3   6.7   5.1    54.7
BAILEY                    | 1948-2010 |   7.2   9.1  16.5  14.9   3.9   0.2   0.0   0.0   1.5   6.6   9.8   9.3    79.0
BASALT                    | 1965-1972 |  15.1  12.0   6.3   3.3   0.0   0.0   0.0   0.0   0.5   5.1   5.6  17.9    65.8
BEDROCK 1 N               | 1997-2005 |   2.1   1.4   1.8   1.1   0.0   0.0   0.0   0.0   0.0   0.1   0.4   1.9     8.8
BERTHOUD PASS             | 1950-1985 |  49.7  42.4  57.9  54.6  37.1  11.8   0.0   0.3   8.7  27.9  49.0  51.3   390.7
BLACK CANYON GUNNISON     | 2004-2010 |  20.4  19.2  21.4  14.5   3.3   0.0   0.0   0.0   1.4   5.1  14.1  26.6   126.0
BLANCA                    | 1948-2010 |   3.8   3.2   4.8   3.7   0.4   0.0   0.0   0.0   0.0   1.3   3.4   3.8    24.4
BLUE MESA LAKE            | 1967-2010 |  13.5  12.1   5.9   3.1   0.3   0.0   0.0   0.0   0.0   1.5   5.2  12.7    54.3
BOND                      | 1958-1975 |   4.7   5.0   3.9   2.7   0.2   0.0   0.0   0.0   0.6   0.4   4.2   8.5    30.2
BONHAM RESERVOIR          | 1963-2010 |  32.0  38.2  41.8  24.1   7.2   0.3   0.0   0.0   1.3  12.6  18.1  35.7   211.3
BONNY LAKE                | 1949-2010 |   4.1   4.2   4.7   2.2   0.1   0.0   0.0   0.0   0.1   1.4   2.1   3.7    22.6
BOULDER                   | 1948-2010 |  10.9  11.0  17.8  11.4   1.4   0.0   0.0   0.0   1.3   5.3  12.6  11.6    83.3
BOVINA 3 NNE              | 1948-1959 |   1.6   1.3   4.0   0.0   0.0   0.0   0.0   0.0   0.3   0.4   1.6   1.3    10.5
BRANDON                   | 1955-1999 |   1.3   1.5   2.8   1.1   0.0   0.0   0.0   0.0   0.0   0.1   1.0   1.4     9.2
BRANSON                   | 1948-1974 |   6.7   6.7   8.2   3.8   0.6   0.0   0.0   0.0   0.0   2.4   5.7   6.8    40.9
BRECKENRIDGE              | 1948-2010 |  22.0  21.4  24.8  23.2  10.2   1.5   0.0   0.0   3.4  11.4  23.0  23.3   164.2
BRIGGSDALE                | 1948-2010 |   2.2   1.6   3.6   1.3   0.2   0.0   0.0   0.0   0.2   0.7   1.9   3.1    14.8
BRIGHTON                  | 1973-2010 |   5.7   4.3   7.8   4.7   0.8   0.0   0.0   0.0   0.4   2.3   6.6   6.5    39.1
BROWNS PARK REFUGE        | 1966-1997 |   2.8   3.8   1.1   0.8   0.3   0.0   0.0   0.0   0.0   0.9   1.8   5.5    17.0
BROWNS PARK STORE         | 2003-2010 |  11.0   3.6   5.3   1.6   0.5   0.0   0.0   0.0   0.0   1.9   2.5   5.3    31.7
BUCKHORN MTN 1 E          | 1988-2010 |  15.3  16.5  34.2  35.2  10.5   0.6   0.0   0.0   3.7  13.6  19.1  16.4   165.1
BUENA VISTA               | 1948-2010 |   5.0   5.7   7.6   5.4   2.5   0.1   0.0   0.0   0.8   2.7   4.8   5.5    40.1
BURLINGTON                | 1948-2010 |   4.3   3.7   5.2   2.9   0.1   0.0   0.0   0.0   0.0   1.2   2.5   4.1    24.0
BUTLER RANCH              | 1951-1977 |   4.4   5.2   4.8   2.2   0.1   0.0   0.0   0.0   0.4   1.5   3.5   4.6    26.7
BYERS 5 ENE               | 1948-2010 |   6.5   5.1   9.5   5.4   0.5   0.0   0.0   0.0   0.8   3.1   5.7   5.7    42.3
CABIN CREEK               | 1968-2010 |  13.0  13.9  26.8  25.1   9.2   1.4   0.0   0.0   3.1  11.0  15.9  16.0   135.4
CAMPO 7 S                 | 1954-2010 |   4.0   2.8   4.0   0.7   0.1   0.0   0.0   0.0   0.0   1.1   1.8   4.6    19.1
CANON CITY                | 1948-2010 |   5.5   6.2   7.6   4.0   0.3   0.0   0.0   0.0   0.2   1.8   4.4   6.5    36.5
CASTLE ROCK               | 1948-2010 |   6.8   7.0  12.1   9.7   1.0   0.0   0.0   0.0   0.6   4.7   7.5   9.6    59.0
CEDAREDGE                 | 1948-1994 |  12.4   8.4   8.7   2.1   0.4   0.0   0.0   0.0   0.0   1.4   5.2  10.0    48.6
CEDAREDGE 3 E             | 1996-2010 |  10.6   9.8   7.8   2.5   0.3   0.0   0.0   0.0   0.0   0.5   2.9   8.0    42.4
CENTER 4 SSW              | 1948-2009 |   4.2   3.7   4.5   2.1   0.6   0.0   0.0   0.0   0.2   1.6   3.1   4.7    24.7
CHEESMAN                  | 1948-2010 |   6.1   7.2  12.5  10.0   1.6   0.0   0.0   0.0   1.2   4.3   7.8   7.8    58.5
CHERAW 1 N                | 1948-2010 |   1.8   0.8   1.4   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   1.8     6.3
CHERRY CREEK DAM          | 1951-2003 |   6.2   7.2  10.8   7.2   1.4   0.0   0.0   0.0   1.3   3.1   8.0   6.7    51.9
CHEYENNE WELLS            | 1948-2010 |   3.5   3.1   4.2   2.9   0.4   0.0   0.0   0.0   0.1   1.3   2.6   3.1    21.2
CIMARRON                  | 1951-2010 |  14.2  12.4  11.0   4.4   0.5   0.0   0.0   0.0   0.0   0.8   7.6  13.9    64.8
CLIMAX                    | 1949-2010 |  39.9  36.0  39.9  39.6  19.4   4.7   0.1   0.1   5.8  18.5  32.5  38.0   274.5
COAL CREEK CANYON         | 1994-2010 |  16.6  17.4  37.3  47.0  14.7   1.2   0.0   0.0   4.3  17.6  15.8  22.4   194.3
COCHETOPA CREEK           | 1948-2010 |  10.6   8.6   7.1   4.5   0.9   0.0   0.0   0.0   0.1   1.6   6.6  10.6    50.6
COLLBRAN                  | 1948-1999 |  14.3  10.1  10.8   4.6   0.5   0.0   0.0   0.0   0.0   1.5   6.1  11.0    58.9
COLLBRAN 2 SW             | 2000-2010 |  11.1  10.1   7.4   2.8   0.8   0.0   0.0   0.0   0.0   1.4   8.2  11.8    53.6
COLORADO NATL MONUMENT    | 1948-2010 |   9.1   4.8   4.6   1.3   0.1   0.0   0.0   0.0   0.0   0.6   3.6   7.5    31.6
COLORADO SPRINGS WSO AP   | 1948-2010 |   5.1   4.6   8.5   6.1   1.2   0.0   0.0   0.0   0.8   3.0   4.8   5.2    39.3
CONEJOS 3 NNW             | 1948-1960 |   7.1   1.9   2.7   3.8   0.3   0.0   0.0   0.0   0.0   1.6   2.0   2.4    21.8
CORTEZ                    | 1948-2010 |   8.8   6.7   4.9   1.7   0.0   0.0   0.0   0.0   0.0   0.4   2.4   7.6    32.5
CRAIG                     | 1948-1976 |  18.3  13.0  10.7   8.1   0.6   0.3   0.0   0.0   0.0   2.3   9.4  18.9    81.6
CRAIG 4 SW                | 1977-2010 |  15.1  13.5  10.9   5.6   1.3   0.0   0.0   0.0   0.3   3.3  10.8  13.2    74.0
CREEDE                    | 1978-2006 |   7.5   6.0   8.7   6.5   0.2   0.0   0.0   0.0   0.1   5.8   6.4   5.2    46.4
CRESTED BUTTE             | 1948-2010 |  44.8  37.6  33.9  18.3   6.5   0.5   0.0   0.0   1.2   8.3  28.4  39.4   218.9
CRESTONE 1 SE             | 1982-2010 |  10.1   7.3  13.1  10.6   2.1   0.0   0.0   0.0   0.0   3.8   7.5   8.0    62.5
CROOK                     | 1996-2010 |   3.1   5.0   4.1   2.1   0.0   0.0   0.0   0.0   0.1   1.5   2.4   4.4    22.7
DEER TRAIL                | 1948-2001 |   3.5   4.1  10.4  11.2   0.6   0.0   0.0   0.0   3.0   4.4   5.4   5.4    48.0
DELHI                     | 1954-1980 |   8.4   6.9  10.9   5.2   0.0   0.0   0.0   0.0   0.1   2.4   8.0   7.4    49.3
DEL NORTE                 | 1948-2010 |   5.7   5.7   7.9   4.9   1.4   0.0   0.0   0.0   0.1   3.1   5.6   7.5    41.9
DELTA                     | 1948-1999 |   3.8   2.1   1.7   0.2   0.0   0.0   0.0   0.0   0.0   0.1   1.3   2.5    11.7
DENVER WSFO AP            | 1948-2010 |   7.3   7.0  12.2   8.3   1.6   0.0   0.0   0.0   1.4   4.0   8.5   7.8    58.1
DENVER WATER DEPT         | 1997-2010 |   5.6   5.7  12.0   5.1   0.6   0.0   0.0   0.0   0.0   2.0   3.8   7.2    42.0
DENVER WSO CITY           | 1948-1974 |   7.3   8.0  11.7   7.7   1.3   0.0   0.0   0.0   1.3   3.4   6.6   5.8    53.1
DILLON 1 E                | 1948-2010 |  18.6  18.5  20.9  17.2   6.9   0.8   0.0   0.0   1.9   6.8  15.7  18.4   125.7
DINOSAUR NATL MONUMENT    | 1965-2010 |   8.7   6.3   5.6   3.1   0.5   0.2   0.0   0.0   0.2   1.5   4.6   8.5    39.2
DOHERTY RANCH             | 1948-1980 |   2.9   1.6   3.6   1.0   0.1   0.0   0.0   0.0   0.0   1.7   2.9   2.0    15.8
DOLORES                   | 1948-2004 |  16.0  13.5  11.6   4.6   0.8   0.0   0.0   0.0   0.0   1.6   7.3  11.4    66.8
DOVE CREEK                | 2003-2010 |  12.6  12.9  10.0   4.4   0.6   0.0   0.0   0.0   0.0   0.8   5.1  13.3    59.7
DURANGO                   | 1948-1991 |  18.7  12.7  11.9   3.7   0.5   0.0   0.0   0.0   0.0   0.9   5.5  16.4    70.3
DURANGO WATER RESOURCES   | 1991-2010 |  19.8  14.9   6.0   3.8   0.1   0.0   0.0   0.0   0.0   1.1   5.7  12.5    63.9
EADS 2 S                  | 1948-2010 |   3.7   2.6   3.7   1.5   0.0   0.0   0.0   0.0   0.0   0.5   2.6   2.6    17.2
