"State","Year","Race","Births","Female.Population"
"Alabama",2003,"American Indian or Alaska Native","17",1230
"Alabama",2003,"Asian or Pacific Islander","22",1462
"Alabama",2003,"Black or African American","3603",52716
"Alabama",2003,"White","4625",102069
"Alabama",2004,"American Indian or Alaska Native","25",1246
"Alabama",2004,"Asian or Pacific Islander","27",1556
"Alabama",2004,"Black or African American","3586",53413
"Alabama",2004,"White","4650",103044
"Alabama",2005,"American Indian or Alaska Native","24",1295
"Alabama",2005,"Asian or Pacific Islander","28",1593
"Alabama",2005,"Black or African American","3386",54231
"Alabama",2005,"White","4483",104582
"Alabama",2006,"American Indian or Alaska Native","25",1305
"Alabama",2006,"Asian or Pacific Islander","26",1685
"Alabama",2006,"Black or African American","3774",55678
"Alabama",2006,"White","4875",106040
"Alaska",2003,"American Indian or Alaska Native","426",5816
"Alaska",2003,"Asian or Pacific Islander","63",1572
"Alaska",2003,"Black or African American","58",1210
"Alaska",2003,"White","519",16916
"Alaska",2004,"American Indian or Alaska Native","455",6036
"Alaska",2004,"Asian or Pacific Islander","75",1636
"Alaska",2004,"Black or African American","41",1242
"Alaska",2004,"White","511",16830
"Alaska",2005,"American Indian or Alaska Native","440",6178
"Alaska",2005,"Asian or Pacific Islander","81",1732
"Alaska",2005,"Black or African American","52",1212
"Alaska",2005,"White","477",16880
"Alaska",2006,"American Indian or Alaska Native","473",6273
"Alaska",2006,"Asian or Pacific Islander","94",1830
"Alaska",2006,"Black or African American","62",1279
"Alaska",2006,"White","480",16941
"Arizona",2003,"American Indian or Alaska Native","1183",15663
"Arizona",2003,"Asian or Pacific Islander","136",4773
"Arizona",2003,"Black or African American","585",8770
"Arizona",2003,"White","9864",157414
"Arizona",2004,"American Indian or Alaska Native","1174",16262
"Arizona",2004,"Asian or Pacific Islander","123",5027
"Arizona",2004,"Black or African American","570",9359
"Arizona",2004,"White","10060",162386
"Arizona",2005,"American Indian or Alaska Native","1232",16969
"Arizona",2005,"Asian or Pacific Islander","115",5503
"Arizona",2005,"Black or African American","596",10256
"Arizona",2005,"White","10071",168769
"Arizona",2006,"American Indian or Alaska Native","1261",17594
"Arizona",2006,"Asian or Pacific Islander","121",6000
"Arizona",2006,"Black or African American","638",10973
"Arizona",2006,"White","10976",174815
"Arkansas",2003,"American Indian or Alaska Native","43",1065
"Arkansas",2003,"Asian or Pacific Islander","24",1153
"Arkansas",2003,"Black or African American","1628",19525
"Arkansas",2003,"White","3998",72405
"Arkansas",2004,"American Indian or Alaska Native","41",1039
"Arkansas",2004,"Asian or Pacific Islander","36",1264
"Arkansas",2004,"Black or African American","1675",19440
"Arkansas",2004,"White","4074",73025
"Arkansas",2005,"American Indian or Alaska Native","30",1153
"Arkansas",2005,"Asian or Pacific Islander","30",1347
"Arkansas",2005,"Black or African American","1646",19829
"Arkansas",2005,"White","4038",73950
"Arkansas",2006,"American Indian or Alaska Native","57",1149
"Arkansas",2006,"Asian or Pacific Islander","32",1513
"Arkansas",2006,"Black or African American","1730",20225
"Arkansas",2006,"White","4224",74871
"California",2003,"American Indian or Alaska Native","410",25233
"California",2003,"Asian or Pacific Islander","2129",156570
"California",2003,"Black or African American","4495",105342
"California",2003,"White","43017",944376
"California",2004,"American Indian or Alaska Native","412",26541
"California",2004,"Asian or Pacific Islander","2007",160885
"California",2004,"Black or African American","4500",109652
"California",2004,"White","43527",963295
"California",2005,"American Indian or Alaska Native","440",28182
"California",2005,"Asian or Pacific Islander","2021",165328
"California",2005,"Black or African American","4524",113778
"California",2005,"White","43805",986225
"California",2006,"American Indian or Alaska Native","512",29535
"California",2006,"Asian or Pacific Islander","1989",170560
"California",2006,"Black or African American","4916",116774
"California",2006,"White","46065",1007266
"Colorado",2003,"American Indian or Alaska Native","102",3154
"Colorado",2003,"Asian or Pacific Islander","139",4782
"Colorado",2003,"Black or African American","468",8139
"Colorado",2003,"White","6105",139523
"Colorado",2004,"American Indian or Alaska Native","100",3286
"Colorado",2004,"Asian or Pacific Islander","107",4780
"Colorado",2004,"Black or African American","482",8372
"Colorado",2004,"White","6186",140042
"Colorado",2005,"American Indian or Alaska Native","101",3414
"Colorado",2005,"Asian or Pacific Islander","92",4917
"Colorado",2005,"Black or African American","464",8679
"Colorado",2005,"White","6085",141824
"Colorado",2006,"American Indian or Alaska Native","86",3642
"Colorado",2006,"Asian or Pacific Islander","92",5019
"Colorado",2006,"Black or African American","450",9013
"Colorado",2006,"White","6203",142752
"Connecticut",2003,"American Indian or Alaska Native","14",664
"Connecticut",2003,"Asian or Pacific Islander","29",3769
"Connecticut",2003,"Black or African American","719",15764
"Connecticut",2003,"White","2116",95116
"Connecticut",2004,"American Indian or Alaska Native","Suppressed",665
"Connecticut",2004,"Asian or Pacific Islander","38",3964
"Connecticut",2004,"Black or African American","726",16440
"Connecticut",2004,"White","2134",96575
"Connecticut",2005,"American Indian or Alaska Native","13",719
"Connecticut",2005,"Asian or Pacific Islander","26",4074
"Connecticut",2005,"Black or African American","706",17401
"Connecticut",2005,"White","2097",98393
"Connecticut",2006,"American Indian or Alaska Native","14",772
"Connecticut",2006,"Asian or Pacific Islander","18",4163
"Connecticut",2006,"Black or African American","803",17938
"Connecticut",2006,"White","2074",99406
"Delaware",2003,"American Indian or Alaska Native","Suppressed",177
"Delaware",2003,"Asian or Pacific Islander","Suppressed",732
"Delaware",2003,"Black or African American","506",7560
"Delaware",2003,"White","713",20493
"Delaware",2004,"American Indian or Alaska Native","Suppressed",196
"Delaware",2004,"Asian or Pacific Islander","12",758
"Delaware",2004,"Black or African American","522",7871
"Delaware",2004,"White","661",20730
"Delaware",2005,"American Indian or Alaska Native","12",217
"Delaware",2005,"Asian or Pacific Islander","10",813
"Delaware",2005,"Black or African American","495",8344
"Delaware",2005,"White","725",21190
"Delaware",2006,"American Indian or Alaska Native","Suppressed",234
"Delaware",2006,"Asian or Pacific Islander","Suppressed",829
"Delaware",2006,"Black or African American","535",8714
"Delaware",2006,"White","743",21354
"District of Columbia",2003,"American Indian or Alaska Native","Suppressed",84
"District of Columbia",2003,"Asian or Pacific Islander","Suppressed",667
"District of Columbia",2003,"Black or African American","819",12217
"District of Columbia",2003,"White","40",6839
"District of Columbia",2004,"American Indian or Alaska Native","Suppressed",105
"District of Columbia",2004,"Asian or Pacific Islander","Suppressed",662
"District of Columbia",2004,"Black or African American","848",12237
"District of Columbia",2004,"White","33",6816
"District of Columbia",2005,"American Indian or Alaska Native","Suppressed",108
"District of Columbia",2005,"Asian or Pacific Islander","Suppressed",670
"District of Columbia",2005,"Black or African American","839",12820
"District of Columbia",2005,"White","29",6656
"District of Columbia",2006,"American Indian or Alaska Native","Suppressed",117
"District of Columbia",2006,"Asian or Pacific Islander","12",697
"District of Columbia",2006,"Black or African American","942",13138
"District of Columbia",2006,"White","68",6820
"Florida",2003,"American Indian or Alaska Native","161",3057
"Florida",2003,"Asian or Pacific Islander","150",13036
"Florida",2003,"Black or African American","7913",121628
"Florida",2003,"White","14909",392016
"Florida",2004,"American Indian or Alaska Native","120",3180
"Florida",2004,"Asian or Pacific Islander","229",13800
"Florida",2004,"Black or African American","8772",126711
"Florida",2004,"White","14691",404806
"Florida",2005,"American Indian or Alaska Native","109",3365
"Florida",2005,"Asian or Pacific Islander","270",14712
"Florida",2005,"Black or African American","9206",132736
"Florida",2005,"White","14958",419738
"Florida",2006,"American Indian or Alaska Native","125",3571
"Florida",2006,"Asian or Pacific Islander","260",15555
"Florida",2006,"Black or African American","9130",137892
"Florida",2006,"White","16214",431700
"Georgia",2003,"American Indian or Alaska Native","42",1253
"Georgia",2003,"Asian or Pacific Islander","99",8145
"Georgia",2003,"Black or African American","7056",108858
"Georgia",2003,"White","8954",180555
"Georgia",2004,"American Indian or Alaska Native","29",1344
"Georgia",2004,"Asian or Pacific Islander","118",8370
"Georgia",2004,"Black or African American","7178",113738
"Georgia",2004,"White","9183",183686
"Georgia",2005,"American Indian or Alaska Native","32",1476
"Georgia",2005,"Asian or Pacific Islander","118",8838
"Georgia",2005,"Black or African American","7521",120028
"Georgia",2005,"White","9214",188002
"Georgia",2006,"American Indian or Alaska Native","31",1592
"Georgia",2006,"Asian or Pacific Islander","106",9405
"Georgia",2006,"Black or African American","8180",126791
"Georgia",2006,"White","9702",191415
"Hawaii",2003,"American Indian or Alaska Native","Suppressed",163
"Hawaii",2003,"Asian or Pacific Islander","1144",28252
"Hawaii",2003,"Black or African American","41",1082
"Hawaii",2003,"White","332",9677
"Hawaii",2004,"American Indian or Alaska Native","Suppressed",163
"Hawaii",2004,"Asian or Pacific Islander","1099",28872
"Hawaii",2004,"Black or African American","43",1044
"Hawaii",2004,"White","319",9742
"Hawaii",2005,"American Indian or Alaska Native","Suppressed",175
"Hawaii",2005,"Asian or Pacific Islander","1111",29561
"Hawaii",2005,"Black or African American","32",1055
"Hawaii",2005,"White","344",9798
"Hawaii",2006,"American Indian or Alaska Native","Suppressed",197
"Hawaii",2006,"Asian or Pacific Islander","1220",30180
"Hawaii",2006,"Black or African American","56",1114
"Hawaii",2006,"White","353",10051
"Idaho",2003,"American Indian or Alaska Native","63",1109
"Idaho",2003,"Asian or Pacific Islander","16",752
"Idaho",2003,"Black or African American","16",409
"Idaho",2003,"White","1999",51873
"Idaho",2004,"American Indian or Alaska Native","59",1121
"Idaho",2004,"Asian or Pacific Islander","16",779
"Idaho",2004,"Black or African American","Suppressed",425
"Idaho",2004,"White","1981",52306
"Idaho",2005,"American Indian or Alaska Native","74",1182
"Idaho",2005,"Asian or Pacific Islander","17",796
"Idaho",2005,"Black or African American","14",499
"Idaho",2005,"White","1929",52909
"Idaho",2006,"American Indian or Alaska Native","78",1177
"Idaho",2006,"Asian or Pacific Islander","19",865
"Idaho",2006,"Black or African American","12",547
"Idaho",2006,"White","2049",53534
"Illinois",2003,"American Indian or Alaska Native","35",2435
"Illinois",2003,"Asian or Pacific Islander","126",16668
"Illinois",2003,"Black or African American","6453",81349
"Illinois",2003,"White","11068",332136
"Illinois",2004,"American Indian or Alaska Native","26",2613
"Illinois",2004,"Asian or Pacific Islander","110",16942
"Illinois",2004,"Black or African American","6430",83451
"Illinois",2004,"White","11250",333920
"Illinois",2005,"American Indian or Alaska Native","33",2831
"Illinois",2005,"Asian or Pacific Islander","109",17336
"Illinois",2005,"Black or African American","6256",85878
"Illinois",2005,"White","10962",336424
"Illinois",2006,"American Indian or Alaska Native","39",3030
"Illinois",2006,"Asian or Pacific Islander","119",17664
"Illinois",2006,"Black or African American","6714",88084
"Illinois",2006,"White","11155",337486
"Indiana",2003,"American Indian or Alaska Native","18",885
"Indiana",2003,"Asian or Pacific Islander","32",2960
"Indiana",2003,"Black or African American","1864",23199
"Indiana",2003,"White","7594",193046
"Indiana",2004,"American Indian or Alaska Native","17",944
"Indiana",2004,"Asian or Pacific Islander","36",3027
"Indiana",2004,"Black or African American","1899",24125
"Indiana",2004,"White","7643",194424
"Indiana",2005,"American Indian or Alaska Native","15",965
"Indiana",2005,"Asian or Pacific Islander","29",3241
"Indiana",2005,"Black or African American","1872",25415
"Indiana",2005,"White","7699",195982
"Indiana",2006,"American Indian or Alaska Native","13",1039
"Indiana",2006,"Asian or Pacific Islander","29",3363
"Indiana",2006,"Black or African American","2040",26493
"Indiana",2006,"White","7582",197782
"Iowa",2003,"American Indian or Alaska Native","41",606
"Iowa",2003,"Asian or Pacific Islander","47",2060
"Iowa",2003,"Black or African American","288",3479
"Iowa",2003,"White","2956",101706
"Iowa",2004,"American Indian or Alaska Native","33",625
"Iowa",2004,"Asian or Pacific Islander","47",2040
"Iowa",2004,"Black or African American","288",3598
"Iowa",2004,"White","2895",101156
"Iowa",2005,"American Indian or Alaska Native","46",629
"Iowa",2005,"Asian or Pacific Islander","48",2089
"Iowa",2005,"Black or African American","298",3941
"Iowa",2005,"White","2969",100520
"Iowa",2006,"American Indian or Alaska Native","33",645
"Iowa",2006,"Asian or Pacific Islander","43",2131
"Iowa",2006,"Black or African American","289",4230
"Iowa",2006,"White","3160",100347
"Kansas",2003,"American Indian or Alaska Native","61",1672
"Kansas",2003,"Asian or Pacific Islander","56",2242
"Kansas",2003,"Black or African American","520",7521
"Kansas",2003,"White","3504",90281
"Kansas",2004,"American Indian or Alaska Native","67",1669
"Kansas",2004,"Asian or Pacific Islander","52",2297
"Kansas",2004,"Black or African American","528",7673
"Kansas",2004,"White","3413",89546
"Kansas",2005,"American Indian or Alaska Native","75",1735
"Kansas",2005,"Asian or Pacific Islander","58",2434
"Kansas",2005,"Black or African American","582",7914
"Kansas",2005,"White","3387",89027
"Kansas",2006,"American Indian or Alaska Native","53",1758
"Kansas",2006,"Asian or Pacific Islander","57",2438
"Kansas",2006,"Black or African American","628",8013
"Kansas",2006,"White","3428",88144
"Kentucky",2003,"American Indian or Alaska Native","10",399
"Kentucky",2003,"Asian or Pacific Islander","41",1345
"Kentucky",2003,"Black or African American","908",13187
"Kentucky",2003,"White","5908",122216
"Kentucky",2004,"American Indian or Alaska Native","11",406
"Kentucky",2004,"Asian or Pacific Islander","28",1475
"Kentucky",2004,"Black or African American","890",13455
"Kentucky",2004,"White","5873",122390
"Kentucky",2005,"American Indian or Alaska Native","14",424
"Kentucky",2005,"Asian or Pacific Islander","32",1496
"Kentucky",2005,"Black or African American","894",14034
"Kentucky",2005,"White","5865",123827
"Kentucky",2006,"American Indian or Alaska Native","12",437
"Kentucky",2006,"Asian or Pacific Islander","39",1528
"Kentucky",2006,"Black or African American","1060",14498
"Kentucky",2006,"White","6381",125194
"Louisiana",2003,"American Indian or Alaska Native","58",1469
"Louisiana",2003,"Asian or Pacific Islander","40",2451
"Louisiana",2003,"Black or African American","5639",70716
"Louisiana",2003,"White","3966",99127
"Louisiana",2004,"American Indian or Alaska Native","90",1505
"Louisiana",2004,"Asian or Pacific Islander","39",2468
"Louisiana",2004,"Black or African American","5639",70822
"Louisiana",2004,"White","3872",98181
"Louisiana",2005,"American Indian or Alaska Native","78",1552
"Louisiana",2005,"Asian or Pacific Islander","43",2490
"Louisiana",2005,"Black or African American","4734",70798
"Louisiana",2005,"White","3468",97315
"Louisiana",2006,"American Indian or Alaska Native","67",1520
"Louisiana",2006,"Asian or Pacific Islander","34",2350
"Louisiana",2006,"Black or African American","4901",63652
"Louisiana",2006,"White","3814",93383
"Maine",2003,"American Indian or Alaska Native","18",454
"Maine",2003,"Asian or Pacific Islander","10",575
"Maine",2003,"Black or African American","15",572
"Maine",2003,"White","1099",43887
"Maine",2004,"American Indian or Alaska Native","21",448
"Maine",2004,"Asian or Pacific Islander","Suppressed",607
"Maine",2004,"Black or African American","12",656
"Maine",2004,"White","1069",43837
"Maine",2005,"American Indian or Alaska Native","11",459
"Maine",2005,"Asian or Pacific Islander","Suppressed",625
"Maine",2005,"Black or African American","24",712
"Maine",2005,"White","1088",43855
"Maine",2006,"American Indian or Alaska Native","19",449
"Maine",2006,"Asian or Pacific Islander","Suppressed",652
"Maine",2006,"Black or African American","23",820
"Maine",2006,"White","1094",43593
"Maryland",2003,"American Indian or Alaska Native","24",955
"Maryland",2003,"Asian or Pacific Islander","74",8982
"Maryland",2003,"Black or African American","3526",63269
"Maryland",2003,"White","2780",112833
"Maryland",2004,"American Indian or Alaska Native","16",1028
"Maryland",2004,"Asian or Pacific Islander","79",9271
"Maryland",2004,"Black or African American","3539",65906
"Maryland",2004,"White","2740",114571
"Maryland",2005,"American Indian or Alaska Native","25",1083
"Maryland",2005,"Asian or Pacific Islander","101",9579
"Maryland",2005,"Black or African American","3571",68602
"Maryland",2005,"White","2706",116381
"Maryland",2006,"American Indian or Alaska Native","17",1149
"Maryland",2006,"Asian or Pacific Islander","120",9881
"Maryland",2006,"Black or African American","3823",71035
"Maryland",2006,"White","2856",117074
"Massachusetts",2003,"American Indian or Alaska Native","13",1116
"Massachusetts",2003,"Asian or Pacific Islander","188",12119
"Massachusetts",2003,"Black or African American","879",20596
"Massachusetts",2003,"White","3619",184532
"Massachusetts",2004,"American Indian or Alaska Native","15",1185
"Massachusetts",2004,"Asian or Pacific Islander","170",12426
"Massachusetts",2004,"Black or African American","903",21572
"Massachusetts",2004,"White","3513",187267
"Massachusetts",2005,"American Indian or Alaska Native","19",1276
"Massachusetts",2005,"Asian or Pacific Islander","174",12725
"Massachusetts",2005,"Black or African American","897",22591
"Massachusetts",2005,"White","3509",190281
"Massachusetts",2006,"American Indian or Alaska Native","20",1355
"Massachusetts",2006,"Asian or Pacific Islander","160",13053
"Massachusetts",2006,"Black or African American","942",23497
