Country,Year,Age,Sex,Population
US,2015,0-4,Male,10177601
US,2015,5-9,Male,10459132
US,2015,10-14,Male,10520388
US,2015,15-19,Male,10797867
US,2015,20-24,Male,11667854
US,2015,25-29,Male,11409399
US,2015,30-34,Male,10889739
US,2015,35-39,Male,10173424
US,2015,40-44,Male,10030153
US,2015,45-49,Male,10334929
US,2015,50-54,Male,10963847
US,2015,55-59,Male,10597567
US,2015,60-64,Male,9117180
US,2015,65-69,Male,7596190
US,2015,70-74,Male,5296158
US,2015,75-79,Male,3610906
US,2015,80-84,Male,2412665
US,2015,85-89,Male,1442244
US,2015,90-94,Male,588978
US,2015,95-99,Male,127988
US,2015,100+,Male,15088
US,2015,0-4,Female,9729680
US,2015,5-9,Female,10028044
US,2015,10-14,Female,10101942
US,2015,15-19,Female,10311036
US,2015,20-24,Female,11071459
US,2015,25-29,Female,11052155
US,2015,30-34,Female,10785909
US,2015,35-39,Female,10201161
US,2015,40-44,Female,10185045
US,2015,45-49,Female,10518915
US,2015,50-54,Female,11370470
US,2015,55-59,Female,11210375
US,2015,60-64,Female,9952697
US,2015,65-69,Female,8471278
US,2015,70-74,Female,6186891
US,2015,75-79,Female,4512927
US,2015,80-84,Female,3386676
US,2015,85-89,Female,2422101
US,2015,90-94,Female,1261957
US,2015,95-99,Female,366919
US,2015,100+,Female,61886
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
