LISTING ID,Type,ADDRESS,City,STATE,ZIP,ListPrice,BEDS,BATHS,LOCATION,SQFT,ImputedSQFT,LOTSIZE,YEARBUILT,ParkSpots,HasGarage,DOM,RECENT_REDUCTION_DATE,BeenReduced,OrigList,LAST_SALE_DATE,SoldPrev,LastPrice,ORIGINAL SOURCE,LATITUDE,LONGITUDE,Test
8515060,Townhouse,618 W Central Rd,Arlington Heights,IL,60005,155000,3,1.5,Arlington Heights,866,866,,1960,2,None,853,,No,144500,05/03/2005,Yes,212500,House4Sale,42.067401,-87.990181,0
8786860,Condo/Coop,715 E FALCON Dr Unit E211,Arlington Heights,IL,60005,159000,2,2,Arlington Heights,1200,1200,,1955,2,None,546,,No,159000,04/08/2013,Yes,64688,"Home Owners Realty, Inc.",42.04242,-87.973687,0
8904190,Single Family Residential,611 E Grove St,Arlington Heights,IL,60005,569900,4,2.5,Arlington Heights,,2184,,,1,Garage,381,07/16/2015,Yes,659000,05/25/2000,Yes,260000,RE/MAX,42.07701,-87.97501,0
8904480,Single Family Residential,1025 N Forrest Ave,Arlington Heights,IL,60004,1550000,4,4.5,Arlington Heights,4200,4200,,2015,3,Garage,381,07/30/2015,Yes,1699925,09/27/2007,Yes,550000,Coldwell Banker,42.094795,-87.959104,0
8935789,Single Family Residential,922 S Beverly Ln,Arlington Heights,IL,60005,1599000,4,5,Arlington Heights,4400,4400,15198,2003,3,Garage,351,02/24/2016,Yes,1699500,03/09/2007,Yes,1550000,Coldwell Banker,42.067396,-87.973849,1
8944541,Single Family Residential,1002 N Hickory Ave,Arlington Heights,IL,60004,575000,4,3.5,Arlington Heights,3500,3500,,1991,2,Garage,343,05/10/2016,Yes,675000,,No,,Keller Williams,42.094792,-87.974719,0
8950939,Single Family Residential,1708 N CHICAGO Ave,Arlington Heights,IL,60004,284900,3,1,Arlington Heights,1150,1150,27878,1959,2,Garage,337,04/27/2016,Yes,339000,09/07/2004,Yes,333000,Troy Realty Ltd,42.107136,-88.002899,0
8959991,Single Family Residential,313 E Haven St,Arlington Heights,IL,60005,799000,4,4,Arlington Heights,4000,4000,10763,2003,2,Garage,328,,No,799000,,No,,RE/MAX,42.056636,-87.97805,1
8975190,Single Family Residential,1906 E Peachtree Ln,Arlington Heights,IL,60004,389000,3,2.5,Arlington Heights,1800,1800,9818,1972,2,Garage,311,09/08/2015,Yes,455000,,No,,RE/MAX,42.119906,-87.959492,1
24038260,Single Family Residential,1031 E Marion St,Arlington Heights,IL,60004,830000,5,3.5,Arlington Heights,3890,3890,,1999,3,Garage,309,,No,830000,,No,,ForSaleByOwner.com,42.100643,-87.968754,0
8980748,Single Family Residential,2330 N Prindle Ave,Arlington Heights,IL,60004,437000,3,2.5,Arlington Heights,2980,2980,15245,1976,2,Garage,305,03/15/2016,Yes,449000,,No,,Berg Properties,42.118101,-87.959258,0
8996242,Single Family Residential,206 S Mitchell Ave,Arlington Heights,IL,60005,779900,4,3,Arlington Heights,2700,2700,5998,2016,2,Garage,289,,No,769900,,No,,"The Stonefield Group, Inc.",42.079382,-87.988127,0
9008504,Single Family Residential,744 S Cleveland Ave,Arlington Heights,IL,60005,509000,5,2.5,Arlington Heights,3000,3000,,1977,2,Garage,276,,No,509000,,No,,Gold & Azen Realty,42.070165,-87.968834,0
9022503,Single Family Residential,2410 N Champlain St,Arlington Heights,IL,60004,325000,3,2,Arlington Heights,,1629,10781,1966,2,Garage,261,10/05/2015,Yes,339900,01/25/2013,Yes,233000,RE/MAX,42.120058,-87.995435,0
3999778945,Single Family Residential,1232 N Chicago Ave,Arlington Heights,IL,60004,225000,2,1,Arlington Heights,,1067,,,0,None,256,,No,225000,07/05/2013,Yes,847500,BuyOwner.com via Oodle,42.098011,-88.00251,0
9027903,Single Family Residential,1332 E Northwest Hwy,Arlington Heights,IL,60004,269990,3,1.5,Arlington Heights,1271,1271,2748,1976,1,Garage,255,03/16/2016,Yes,275000,,No,,Keller Williams,42.076937,-87.966181,0
9029428,Townhouse,1667 N Courtland Dr,Arlington Heights,IL,60004,296000,3,2,Arlington Heights,,1629,,1990,1,Garage,253,,No,296000,,No,,"Realty World All Pro, Inc.",42.104672,-87.9620205,0
9030063,Single Family Residential,1138 N MITCHELL Ave,Arlington Heights,IL,60004,879900,4,4.5,Arlington Heights,3580,3580,,2016,2,Garage,253,,No,879900,06/08/2015,Yes,250000,Century 21,42.096887,-87.988102,0
9033190,Condo/Coop,1 S Highland Ave #305,Arlington Heights,IL,60005,262500,2,2,Arlington Heights,1500,1500,,2001,2,None,248,04/26/2016,Yes,289000,,No,,RE/MAX,42.082597,-87.98513,0
9036178,Condo/Coop,77 S Evergreen Ave #1201,Arlington Heights,IL,60005,650000,3,3.5,Arlington Heights,2500,2500,,2000,2,Garage,245,04/04/2016,Yes,670000,,No,,Baird & Warner,42.0815348,-87.9814596,0
9038211,Single Family Residential,627 N Dunton Ave,Arlington Heights,IL,60004,489000,3,1.5,Arlington Heights,1456,1456,,1964,1,Garage,242,,No,489000,,No,,"Prello Realty, Inc.",42.089354,-87.98247,0
9041727,Single Family Residential,1104 S VAIL Ave,Arlington Heights,IL,60005,299000,4,,Arlington Heights,825,825,16199,1955,2,Garage,239,03/28/2016,Yes,339000,03/15/2013,Yes,209000,RE/MAX,42.064025,-87.983936,1
9043955,Single Family Residential,1119 W Wing St,Arlington Heights,IL,60005,798900,4,4,Arlington Heights,3850,3850,15245,2015,3,Garage,235,,No,798900,08/14/2015,Yes,250000,"Capital Sales, LLC",42.08349,-87.997201,0
9049240,Single Family Residential,lot 7 W LASALLE St,Arlington Heights,IL,60004,795000,4,3,Arlington Heights,3400,3400,,,3,Garage,230,,No,795000,,No,,Homesmart Connect LLC,42.11228248,-87.98853062,0
9050025,Condo/Coop,25 E Palatine Rd #207,Arlington Heights,IL,60004,107500,1,1,Arlington Heights,,906,,,1,Garage,228,03/21/2016,Yes,110000,02/25/2014,Yes,70000,Coldwell Banker,42.108852,-87.982092,0
9058651,Single Family Residential,1810 N FERNANDEZ Ave,Arlington Heights,IL,60004,950000,4,4.5,Arlington Heights,3894,3894,,2016,2,Garage,219,,No,950000,,No,,Century 21,42.108716,-87.991638,1
9063513,Single Family Residential,2118 E Waverly Ln,Arlington Heights,IL,60004,339000,4,2.5,Arlington Heights,1323,1323,9583,1973,2,Garage,212,05/03/2016,Yes,349000,,No,,RE/MAX,42.120607,-87.957041,0
9064354,Townhouse,901 N Chicago Ave,Arlington Heights,IL,60004,389000,3,2.5,Arlington Heights,2428,2428,,2008,10,Garage,211,04/25/2016,Yes,409000,,No,,Baird & Warner,42.0929565,-88.0023043,1
9065675,Single Family Residential,2843 S Briarwood Dr E,Arlington Heights,IL,60005,265000,3,2,Arlington Heights,2117,2117,,1962,2,Garage,210,03/04/2016,Yes,325000,,No,,Konnerth Realty Group,42.033202,-87.965175,1
9085795,Single Family Residential,4239 N Walnut Ave,Arlington Heights,IL,60004,349999,4,2.5,Arlington Heights,2150,2150,9143,1985,2,Garage,182,05/13/2016,Yes,375000,,No,,Baird & Warner,42.15319,-87.99177,1
9095367,Condo/Coop,2638 N WINDSOR Dr #102,Arlington Heights,IL,60004,99000,2,2,Arlington Heights,,1382,,1975,1,None,163,12/24/2015,Yes,109000,08/31/2005,Yes,162000,Gold & Azen Realty,42.123051,-87.967146,0
9097950,Single Family Residential,1832 E Rosehill Dr,Arlington Heights,IL,60004,519990,5,2.5,Arlington Heights,2503,2503,10824,1972,2,Garage,158,,No,519990,,No,,Metro Realty Inc.,42.112977,-87.960691,1
9098324,Single Family Residential,2214 E PALATINE Rd,Arlington Heights,IL,60004,279900,3,2,Arlington Heights,,1629,,1961,2,Garage,158,12/18/2015,Yes,499900,,No,,Coldwell Banker,42.110613,-87.956344,0
9098490,Single Family Residential,626 E Central Rd,Arlington Heights,IL,60005,359000,3,1.5,Arlington Heights,1612,1612,32670,1955,2,Garage,158,,No,359000,08/16/2005,Yes,485000,"Axis Realty, Inc.",42.066964,-87.974441,0
9102108,Single Family Residential,3022 N Huntington Dr,Arlington Heights,IL,60004,399000,4,3.5,Arlington Heights,2448,2448,,1972,2,Garage,150,04/15/2016,Yes,419000,11/21/2005,Yes,486000,Cherusseril M Kurian,42.13154,-87.966984,0
9104083,Single Family Residential,926 N BEVERLY Ln,Arlington Heights,IL,60004,899925,4,4,Arlington Heights,3800,3800,,2016,3,Garage,147,,No,899925,08/06/2014,Yes,225000,Coldwell Banker,42.094657,-87.973062,0
9106335,Single Family Residential,712 S Yale Ave,Arlington Heights,IL,60005,649925,4,2.5,Arlington Heights,3073,3073,8428,1995,2,Garage,137,,No,649925,,No,,Coldwell Banker,42.072469,-88.00279,0
9108097,Condo/Coop,2210 S Goebbert Rd #334,Arlington Heights,IL,60005,132900,2,1.5,Arlington Heights,900,900,,,1,None,132,04/20/2016,Yes,144900,05/22/2012,Yes,49000,American Realty,42.045491,-87.976016,0
9108768,Townhouse,3934 NEWPORT Way,Arlington Heights,IL,60004,199900,2,1.5,Arlington Heights,1400,1400,,1988,1,Garage,130,,No,199900,,No,,RE/MAX,42.148208,-88.009993,0
9110139,Townhouse,903 N Chicago Ave,Arlington Heights,IL,60004,399000,3,2.5,Arlington Heights,2428,2428,,2008,4,Garage,129,04/25/2016,Yes,409000,,No,,Baird & Warner,42.0931013,-88.0021893,0
9110395,Townhouse,1312 E Northwest Hwy,Arlington Heights,IL,60004,200000,3,1.5,Arlington Heights,1165,1165,,1954,1,Garage,129,,No,200000,,No,,Weichert Realtors,42.077282,-87.966951,0
9110594,Single Family Residential,42 S Chestnut Ave,Arlington Heights,IL,60005,299900,3,2,Arlington Heights,1800,1800,,,2,Garage,128,02/28/2016,Yes,349900,,No,,Baird & Warner,42.081344,-87.986996,0
9112762,Single Family Residential,802 N Kennicott Ave,Arlington Heights,IL,60004,269000,3,1.5,Arlington Heights,,1431,9382,1956,2,Garage,126,05/09/2016,Yes,289000,12/13/2005,Yes,308000,RE/MAX,42.091666,-87.99542,1
9114363,Single Family Residential,517 S DUNTON Ave,Arlington Heights,IL,60005,265000,3,1,Arlington Heights,1350,1350,6534,1929,1,Garage,123,,No,265000,08/06/2001,Yes,266000,Arlington Properties,42.074862,-87.98261,1
