Price,Carats,Color,Clarity,Depth,Table,Cut,TDdiff,TDratio,Test
1000,0.3,E,VVS1,60,59,Excellent,-1,0.98333333,0
1000,0.44,E,VS2,61.9,58,Excellent,-3.9,0.93699515,1
1000,0.31,E,VVS1,61.3,58,Excellent,-3.3,0.94616639,0
1000,0.66,K,SI1,62.8,57,Excellent,-5.8,0.90764331,2
1000,0.47,H,VS2,59.1,64,Very Good,4.9,1.08291032,2
1000,0.4,G,VS1,62,59,Excellent,-3,0.9516129,2
1000,0.36,D,VS2,61.3,57,Excellent,-4.3,0.92985318,0
1000,0.52,H,SI2,61.7,61,Very Good,-0.7,0.98865478,0
1001,0.53,D,SI2,59.4,59,Very Good,-0.4,0.99326599,0
1001,0.43,F,VS2,61.5,60,Excellent,-1.5,0.97560976,2
1001,0.43,F,VS2,60.4,59,Very Good,-1.4,0.97682119,0
1001,0.43,F,VS2,62,58,Very Good,-4,0.93548387,1
1001,0.3,E,VVS1,59.1,62,Good,2.9,1.04906937,2
1001,0.47,I,VS2,62.4,57,Excellent,-5.4,0.91346154,0
1001,0.41,E,VS2,62.8,56,Excellent,-6.8,0.89171975,0
1001,0.44,D,SI1,60.2,60,Excellent,-0.2,0.99667774,0
1001,0.36,F,VVS2,60.7,59,Excellent,-1.7,0.97199341,1
1001,0.4,E,VS1,62.5,62,Good,-0.5,0.992,2
1001,0.4,E,VS1,64.3,60,Good,-4.3,0.93312597,0
1002,0.32,F,IF,61.5,57,Very Good,-4.5,0.92682927,2
1002,0.5,F,SI2,63.3,60,Very Good,-3.3,0.9478673,0
1002,0.5,H,SI1,63,63,Good,0,1,2
1002,0.36,E,VS1,61.5,59,Excellent,-2.5,0.95934959,2
1002,0.44,E,VS2,62.1,57,Excellent,-5.1,0.9178744,0
1002,0.31,E,VVS1,62.1,57,Very Good,-5.1,0.9178744,0
1017,0.45,F,VS2,62.6,57,Very Good,-5.6,0.91054313,2
1017,0.51,I,SI1,62.9,56,Very Good,-6.9,0.89030207,1
1017,0.3,E,VVS1,62.6,58,Excellent,-4.6,0.92651757,2
1017,0.51,I,SI1,61.7,55,Ideal,-6.7,0.89141005,0
1018,0.41,G,VS1,61.4,55,Ideal,-6.4,0.89576547,0
1018,0.31,E,VVS1,62,56,Excellent,-6,0.90322581,0
1018,0.31,E,VVS1,60.5,57,Excellent,-3.5,0.94214876,0
1018,0.31,E,VVS1,59.2,61,Very Good,1.8,1.03040541,0
1018,0.31,E,VVS1,63.4,56,Very Good,-7.4,0.88328076,0
1018,0.31,E,VVS1,62,57,Excellent,-5,0.91935484,0
1018,0.31,E,VVS1,63,55,Excellent,-8,0.87301587,0
1018,0.31,E,VVS1,61.6,55,Excellent,-6.6,0.89285714,0
1018,0.31,E,VVS1,62.5,58,Very Good,-4.5,0.928,2
1018,0.4,F,VVS2,60.9,54,Very Good,-6.9,0.88669951,0
1018,0.31,E,IF,63.3,58,Very Good,-5.3,0.91627172,0
1018,0.31,E,IF,62.4,56,Very Good,-6.4,0.8974359,0
1019,0.42,G,VVS2,62.3,56,Excellent,-6.3,0.8988764,0
1019,0.33,D,VVS2,60.7,57,Ideal,-3.7,0.93904448,0
1019,0.37,H,VVS1,62.3,57,Excellent,-5.3,0.91492777,0
1019,0.45,J,VVS1,58.6,61,Very Good,2.4,1.04095563,1
1019,0.4,E,VS1,63.5,60,Good,-3.5,0.94488189,0
