upoz,day,v500,wind,hum,safb,inbh,dagg,inbt,vis
3,3,5710,4,28,40,2693,-25,87,250
5,4,5700,3,37,45,590,-24,128,100
5,5,5760,3,51,54,1450,25,139,60
6,6,5720,4,69,35,1568,15,121,60
4,7,5790,6,19,45,2631,-33,123,100
4,8,5790,3,25,55,554,-28,182,250
6,9,5700,3,73,41,2083,23,114,120
7,10,5700,3,59,44,2654,-2,91,120
4,11,5770,8,27,54,5000,-19,92,120
6,12,5720,3,44,51,111,9,173,150
5,13,5760,6,33,51,492,-44,181,40
4,14,5780,6,19,54,5000,-44,135,200
4,15,5830,3,19,58,1249,-53,243,250
7,16,5870,2,19,61,5000,-67,186,200
5,17,5840,5,19,64,5000,-40,174,200
9,18,5780,4,59,67,639,1,189,150
4,19,5680,5,73,52,393,-68,210,10
3,20,5720,4,19,54,5000,-66,126,140
4,21,5760,3,19,54,5000,-58,111,250
4,22,5730,4,26,58,5000,-26,111,200
5,23,5700,5,59,69,3044,18,116,150
6,24,5650,5,70,51,3641,23,87,140
9,25,5680,3,64,53,111,-10,153,50
6,27,5820,5,19,59,597,-52,214,70
6,29,5810,5,19,64,1791,-15,182,150
11,30,5790,3,28,63,793,-15,188,120
10,31,5800,2,32,63,531,-38,244,40
7,32,5820,5,19,62,419,-29,243,120
12,33,5770,8,76,63,816,-7,190,6
9,34,5670,3,69,54,3651,62,95,30
2,35,5590,3,76,36,5000,70,33,100
3,36,5410,6,64,31,5000,28,2,200
3,37,5350,7,62,30,1341,18,77,60
2,38,5480,9,72,36,5000,0,37,350
3,39,5600,7,76,42,3799,-18,77,250
3,40,5490,11,72,37,5000,32,34,350
4,41,5560,10,72,41,5000,-1,31,300
6,42,5700,3,32,46,5000,-30,77,300
8,43,5680,5,50,51,5000,-8,75,300
6,44,5700,4,86,55,2398,21,121,200
4,45,5650,5,61,41,5000,51,24,100
3,46,5610,5,62,41,4281,42,52,250
7,47,5730,5,66,49,1161,27,116,200
11,48,5770,5,68,45,2778,2,132,200
13,49,5770,3,82,55,442,26,146,40
6,51,5690,8,21,41,5000,-30,57,300
5,52,5700,3,19,45,5000,-53,66,300
4,53,5730,11,19,51,5000,-43,95,300
4,54,5690,7,19,53,5000,7,95,300
6,55,5640,5,68,50,5000,24,56,300
10,56,5720,6,63,60,1341,19,151,150
15,57,5740,3,54,54,1318,2,181,150
23,58,5740,3,47,53,885,-4,195,80
17,59,5740,3,56,53,360,3,195,40
7,60,5670,7,61,44,3497,73,97,40
2,61,5550,10,74,40,5000,73,45,80
3,62,5470,7,46,30,5000,44,-15,300
3,63,5320,11,45,25,5000,39,-25,200
4,65,5530,3,43,40,5000,-12,9,140
6,66,5600,3,21,45,5000,-2,39,140
7,67,5660,7,57,51,5000,30,56,140
7,68,5580,5,42,48,3608,24,41,100
