City	pop90	pop80	growth	area	popdens	blackpop	hispop	asianpop	pctblack	pcthisp	pctasian	k12enr	pct.bach	pct.elder	medinc	taxes	pct.pa	poverty	pct.1par	unempl	laborchg	femlab	pct.manu	pubtrans	medvalue	medrent	pct.rent	oldhomes	pct.cond	pct.sing	infmort	mean.jul	precip	tot.mort	heart	cancer	lung	suicide	vdeaths	PM.max	PM.ave	SO2.ave	CO.max	NO2.ave	Ozone	Lead	tot.tax	COL.util	COL.ptax	COL.food	COL.tran	job.grow	cycthrt	pct.mobi	home90	commute	murder	rape	robbery	assault	violent	burglary	theft	auto.thft	tot.prop	ctrend	zeroday	freeze	hot	ddays	high.jul	low.jan
New.York.NY	7311966	7071639	3.4	308.9	23671	2102512	1783511	512719	28.7	24.4	7	79.1	23	13	29823	2190	13.1	19.3	35.6	8.6	13.2	53.7	11.4	53.4	189600	496	71.4	40.9	7.2	32.9	13.2	76.8	47.3	966.41	429.06	203.17	23.52	8.49	9.69	101	.	0.018	10	0.047	0.18	0.05	6104	137	623	142	129	-0.91	-1	0	427700	75.8	19.6	39.8	903	669	1592	1518	3646	1562	6726	0	.	0	81	16	5916	85
Los.Angeles.CA	3489779	2968528	17.6	469.3	7436	487674	1391411	341807	14	39.9	9.8	86.8	23	10	30925	532	10.7	18.9	30.5	9	21.9	58	18.4	10.5	244500	600	60.6	17.4	7.5	28.5	10.1	74.3	14.8	697.12	301.39	154.59	25.76	10.98	15.04	215	66	0.005	16	0.055	0.31	0.14	4251	89	291	112	122	2.55	0	2	414900	56.8	14.8	46.9	522	736.2	1273	1401	2877	1374	5652	0	.	0	0	5	2437	75
Chicago.IL	2768483	3005072	-7.9	227.2	12185	1087711	545852	104118	39.1	19.6	3.7	79.5	19.5	11.9	26301	573	14.4	21.6	38.5	8.4	-0.6	56.2	18.7	29.7	78700	445	58.5	44.6	7	32.1	15.2	75.1	37.4	676.98	281.73	157.21	21.97	7.03	8.95	129	46	0.019	6	0.032	0.13	0.1	3059	132	253	102	116	2.35	0	1	192900	61.5	10.7	0	456.7	531.3	999	1222	3553	902	5677	0	7	119	21	7052	83	14
Houston.TX	1690180	1595138	6	539.9	3131	457990	450483	67113	28.1	27.6	4.1	92.3	25.1	8.3	26261	440	7.1	20.7	29.6	6.1	0.1	60.4	11.7	6.5	58000	390	55.4	6	8.7	31	11.3	83.5	50.8	560.52	206.52	126.03	18.11	11.32	17.35	108	37	0.007	7	0.028	0.2	0.03	1187	93	176	99	118	4.86	0	4	109600	56.8	15.7	52.5	340.4	326.1	682	2139	3718	1472	7329	0	0	24	81	4323	94	41
Philadelphia.PA	1552572	1688210	-8	135.1	11492	631936	89193	43522	39.9	5.6	2.7	70.8	15.2	15.2	24603	1016	14	20.3	38.6	8	2.5	51.5	13.6	28.7	49400	452	38.1	51.6	2.4	31.6	17.5	76.7	41.4	966.42	391.98	243.84	34.05	9.82	11.49	93	40	0.005	7	0.034	0.16	0.11	5632	126	372	123	114	4.19	0	1	225000	53.2	9.3	34.1	252.8	250.9	513	912	2288	759	3959	0	0	101	19	5969	86	24
San.Diego.CA	1148851	875538	31.2	324	3546	104261	229519	130945	9.4	20.7	11.8	91.9	29.8	10.2	33686	335	8.8	13.4	23.7	6.2	33.3	59.3	13.9	4.2	189400	602	51.7	8.6	14.2	26.3	8.1	71	9.9	690.47	273.82	171.54	31.83	14.05	15.09	79	41	0.004	8	0.029	0.18	0.04	2468	123	242	107	116	9.47	1	5	345200	46.4	7.4	35.4	210.3	414.7	632	1442	3383	1511	6336	0	0	0	3	2229	76	48
Dallas.TX	1022497	904599	13	342.4	2986	296994	210240	21952	29.5	20.9	2.2	90.2	27.1	9.7	27489	490	5.8	18	29.2	6.9	14.8	62.8	14.1	6.7	78800	426	55.9	6.8	7	34.2	9.3	85.9	36.1	419.21	162.27	95.07	17.35	9.55	10.4	83	27	0.003	5	.	0.12	0.19	1206	89	215	96	107	6.31	0	4	144300	52.9	15.8	71.6	373.4	507.8	897	2500	5643	1299	9442	0	0	39	88	4969	98	34
Phoenix.AZ	1012230	789704	28.2	419.9	2411	51053	197103	16303	5.2	20	1.7	92.8	19.9	9.7	29291	335	5.8	14.2	22.8	5	32.4	61.2	14.2	3.3	77100	442	40.9	2.9	6.2	26.1	10.9	93.5	7.7	762.55	292.02	190.85	43.07	16.21	17.39	112	50	0.005	10	0.021	0.12	0.11	2085	99	101	100	116	11.51	-1	11	153800	49	7.1	40.5	150.9	362.1	520	1825	4714	850	7389	0	0	32	164	5060	105	39
Detroit.MI	1012110	1203368	-15.9	138.7	7297	777916	28473	8461	75.7	2.8	0.8	87.3	9.6	12.2	18742	513	26.1	32.4	53.9	13.1	-13.7	49.3	20.5	10.7	25600	372	47.1	35.8	1.2	29.8	21	74.2	32.1	828.88	359.68	200.85	29.28	11.06	12.73	117	42	0.012	8	0.022	0.13	0.07	3883	120	232	107	110	4.11	0	3	121900	50.9	13.6	66	304.6	394.1	712	1400	3585	1205	6190	-1	7	139	11	7073	83	16
San.Antonio.TX	966437	785940	23	333	2902	65884	520282	10703	7	55.6	1.1	92.5	17.8	10.5	23584	221	9.6	22.6	26.7	7.1	30.6	54.8	9	4.9	49700	369	46	8.6	3.1	25	9.5	85	31	718.15	277.55	160.74	26.96	14.59	13.75	58	29	.	4	.	0.11	0.03	1008	81	147	94	118	4.99	-1	5	102400	47.2	12.4	53.8	198.7	203.3	414	2567	6191	1222	9980	0	0	22	111	4564	95	39
San.Jose.CA	801331	629400	27.3	171.3	4678	36790	208388	152815	4.7	26.6	19.5	90.9	25.3	7.2	46206	413	8.9	9.3	22.7	6.4	32.4	63.5	31.3	3.5	259100	755	38.7	5.5	10.5	18.4	7.8	69.5	14.4	551.09	224.5	132.08	23.17	10.55	9.82	128	36	.	10	0.031	0.12	0.05	4498	106	350	108	120	6.28	1	4	560900	49.9	3.5	43.3	88	279.3	371	820	3098	439	4357	-1	.	.	.	.	.	.
Indianapolis.IN	746538	700807	6.5	361.7	2064	165570	7681	6852	22.6	1.1	0.9	87.2	21.7	11.4	29006	536	6	12.5	25.7	5.1	12.1	62.4	15.9	3.3	60800	410	43.3	20.2	3.8	29.4	12.6	75.4	39.9	848.68	336.69	210.75	41.13	15.68	13.2	79	38	0.012	6	0.018	0.11	0.05	2626	100	95	97	97	6.95	0	4	121800	46.8	6.2	56.7	139.3	311.9	457	1251	2990	559	4800	0	7	122	15	6551	85	18
San.Francisco.CA	728921	678974	7.4	46.7	15609	79039	100717	210876	10.9	13.9	29.1	77.5	35	14.6	33414	1302	10.4	12.7	28.3	5.6	12.6	60.7	9.2	33.5	298900	653	65.5	55.1	4.5	39.3	8.4	59.1	19.7	935.04	353.06	267.2	35.36	15.53	10.97	85	35	0.002	8	0.024	0.07	0.06	4793	110	384	110	120	3.46	-1	1	667700	54.9	6.7	38.8	347.4	362.5	717	1063	3740	873	5676	0	0	0	1	3119	69	44
Baltimore.MD	726096	786741	-7.7	80.8	8986	435768	7602	7942	59.2	1	1.1	85.5	15.5	13.7	24045	902	16.4	21.9	46.1	9.4	0.8	55	12.3	22	54700	413	51.4	41.2	2.2	30.5	18	77	40.8	899.6	342.08	229.16	32.58	9.78	12.26	90	37	0.009	8	0.033	0.16	0.04	4122	96	160	105	99	5.08	-1	1	186500	55.9	11.4	45.3	386.4	481.2	879	1323	3466	721	5510	0	0	100	31	5837	87	24
Jacksonville.FL	661177	540920	22.2	758.7	871	160283	16455	12182	25.2	2.6	1.9	87.5	17.9	10.6	28305	380	6.5	13	23.8	6.7	31.3	60.1	9.4	2.7	62900	429	37.9	6.9	2.8	25.8	11.3	81.6	51.3	858.8	334.06	211.86	41.58	16.76	18.75	59	34	0.006	4	0.014	0.1	0.03	913	72	139	100	106	4.79	0	11	124400	48.4	14.6	87.1	400.4	648.8	1064	2425	4841	705	7971	-1	0	12	82	3923	91	42
Columbus.OH	642987	565021	13.8	190.9	3368	142748	6741	14993	22.6	1.1	2.4	88.4	24.6	9.2	26651	428	9.4	17.2	29.1	4.8	23.7	63.4	11.6	4.7	66000	422	53.4	17.5	5.8	31.3	14.2	73.2	38.1	784.15	316.32	190.07	35.43	9.87	12.49	79	33	0.008	7	0.012	0.12	0.15	3199	111	137	99	102	7.76	-1	3	134000	45.6	6.6	60.8	238.2	232.6	477	1582	3866	615	6063	0	4	122	15	6511	84	19
Milwaukee.WI	617043	636297	-3	96.1	6421	191255	39409	11817	30.5	6.3	1.9	80.6	14.8	12.4	23627	255	15.3	22.2	37.4	5.7	-1.7	57.9	22.2	11	53500	418	55.2	38.4	2.8	30.5	12.1	73.6	31.1	871.77	367.07	211.92	32.12	11.17	10.82	78	33	0.007	5	0.024	0.18	0.06	3459	108	210	102	109	4.49	0	1	146900	43.3	7.6	37.4	197.7	133.1	338	959	3497	786	5242	-1	16	146	9	7894	80	11
