Frequency,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0,0.1446,1.4404,4.2689,-9.2554,-2.8426,0.2229,-2.565,-10.849
0.004,-0.1554,0.1404,3.3689,-10.555,-2.0426,-21.777,-16.565,-6.8493
0.008,2.1446,0.5404,4.4689,-7.7554,0.1574,-3.7771,-8.565,-18.849
0.012,1.9446,-2.2596,0.8689,-8.5554,0.4574,-11.777,-20.565,-28.849
0.016,3.3446,-0.7596,2.2689,-6.9554,1.6574,-9.7771,-26.565,-28.849
0.02,3.0446,-2.3596,2.5689,-7.7554,1.6574,-5.7771,-32.565,-30.849
0.024,4.1446,-3.8596,3.1689,-6.8554,1.8574,-13.777,-40.565,-54.849
0.028,4.0446,-4.7596,3.2689,-8.6554,2.7574,-13.777,-36.565,-34.849
0.032,5.9446,-2.8596,3.1689,-5.2554,4.4574,-3.7771,-24.565,-32.849
0.036,2.9446,-3.4596,0.7689,-7.3554,3.8574,-3.7771,-24.565,-36.849
0.04,-1.3554,-2.9596,2.0689,-6.3554,3.5574,-11.777,-28.565,-60.849
0.044,-3.4554,-5.4596,2.0689,-6.3554,4.6574,2.2229,-10.565,-26.849
0.048,-0.9554,-3.8596,4.5689,-5.9554,6.3574,-1.7771,-12.565,-10.849
0.052,0.9446,-4.8596,3.3689,-6.1554,6.1574,-7.7771,-24.565,-12.849
0.056,3.5446,-2.6596,4.6689,-2.8554,7.0574,8.2229,-14.565,-22.849
0.06,2.5446,-3.2596,2.4689,-2.4554,4.2574,2.2229,-12.565,-24.849
0.064,2.8446,-1.8596,1.4689,-2.8554,2.9574,0.2229,-20.565,-28.849
0.068,2.0446,-2.5596,-3.8311,-3.9554,-1.0426,-25.777,-26.565,-14.849
0.072,1.1446,-0.2596,-3.0311,0.3446,-0.9426,0.2229,-16.565,-4.8493
0.076,0.9446,-2.2596,-2.6311,0.8446,0.1574,6.2229,-0.565,-2.8493
0.08,-1.0554,-1.5596,-1.4311,1.4446,0.9574,-5.7771,-4.565,-0.8493
0.084,-2.5554,-1.1596,-0.2311,0.3446,1.4574,-17.777,-10.565,-8.8493
0.088,-3.9554,-3.8596,0.4689,-1.0554,1.4574,-15.777,-28.565,-20.849
0.092,-2.1554,-4.3596,1.9689,0.4446,4.7574,30.223,-34.565,-26.849
0.096,-2.1554,-7.5596,1.5689,0.9446,6.8574,54.223,-46.565,-12.849
0.1,-4.9554,-11.76,2.4689,3.9446,9.4574,74.223,-24.565,3.1507
