RowID,Location,ItemName,Type,Calories,TotalFat,SatFat,Cholesterol,Sodium,Carbohydrates,Fiber
1,BurgerKing,Whopper,Beef,640,39,14,90,870,45,3
2,BurgerKing,Whopperw/Cheese,Beef,730,46,30,115,1350,46,3
3,BurgerKing,DoubleWhopper,Beef,870,56,25,170,940,45,3
4,BurgerKing,DoubleWhopperw/Cheese,Beef,960,63,30,195,1420,46,3
5,BurgerKing,WhopperJr,Beef,420,24,7,60,530,29,2
6,BurgerKing,WhopperJrw/Cheese,Beef,460,28,9,75,770,29,2
7,BurgerKing,Hamburger,Beef,330,15,5,55,530,28,1
8,BurgerKing,Cheeseburger,Beef,380,19,8,65,770,28,1
9,BurgerKing,DoubleCheeseburger,Beef,600,36,15,135,1060,28,1
10,BurgerKing,DoubleCheeseburgerw/Bacon,Beef,640,39,17,145,1240,28,1
11,BurgerKing,BKBigFish,Fish,700,41,15,90,980,56,3
12,BurgerKing,ChickenSandwich,Chicken,710,43,5,60,1400,54,2
13,BurgerKing,ChickenTenders(8piece),Chicken,310,17,5,50,710,19,3
14,BurgerKing,GardenSaladnodressing,Salad,100,5,0,15,110,7,3
15,BurgerKing,FrenchFries(Med/Salted),Side,370,20,5,0,240,43,3
16,BurgerKing,OnionRings,Side,310,14,4,0,810,41,6
17,BurgerKing,DutchApplePie,Dessert,300,15,3,0,230,39,2
18,BurgerKing,Corissanwichw/SausageEggCheese,Breakfast,600,46,14,260,1140,25,1
19,BurgerKing,Biscuitw/Sausage,Breakfast,590,40,11,45,1390,41,1
20,BurgerKing,Biscuitw/BaconEggCheese,Breakfast,510,31,7,225,1530,39,1
21,BurgerKing,FrenchToastSticks,Breakfast,500,27,5,0,490,60,1
22,BurgerKing,HashBrowns,Side,220,12,4,0,320,25,2
23,Wendys,ClassicSingleW/everything,Beef,410,19,7,70,890,37,2
24,Wendys,BigBaconClassic,Beef,570,29,12,100,1460,46,3
25,Wendys,JrHamburger,Beef,270,9,3,30,600,34,2
26,Wendys,JrCheeseburger,Beef,310,12,5,45,820,34,2
27,Wendys,JrBaconCheeseburger,Beef,380,18,7,55,890,34,2
28,Wendys,JrCheeseburgerDeluxe,Beef,350,16,6,45,890,37,2
29,Wendys,HamburgerKidsMeal,Beef,270,9,3,30,600,33,2
30,Wendys,CheeseburgerKidsMeal,Beef,310,12,5,45,820,34,2
31,Wendys,GrilledChickenSandwich,Chicken,300,7,2,55,740,36,2
32,Wendys,ChickenBreastFilletSandwich,Chicken,430,16,3,55,750,46,2
33,Wendys,ChickenClubSandwich,Chicken,470,19,4,65,920,47,2
34,Wendys,SpicyChickenSandwich,Chicken,430,15,3,60,1240,47,3
35,Wendys,CaesarSideSalad,Salad,70,4,2,15,250,2,1
36,Wendys,SideSalad,Salad,35,0,0,0,20,7,3
37,Wendys,ChickenBLTSalad,Salad,310,16,8,60,1100,10,4
38,Wendys,MandarinChickenSalad,Salad,150,2,0,10,650,17,3
39,Wendys,SpringMixSalad,Salad,180,11,6,30,230,12,5
40,Wendys,TacoSupremoSalad,Salad,360,17,9,65,1090,29,8
41,Wendys,Fries(Small),Side,250,11,2,0,220,36,4
42,Wendys,Fries(Medium),Side,390,17,3,0,340,56,6
43,Wendys,Fries(Biggie),Side,440,19,4,0,380,63,7
44,Wendys,Fries(GreatBiggie),Side,530,23,5,0,450,75,8
45,Wendys,Chili(Small),Chili,200,6,3,35,870,21,5
46,Wendys,Chili(Large),Chili,300,9,4,50,1310,31,7
47,Wendys,CrispyChickenNuggets(5piece),Chicken,220,14,3,35,480,13,0
48,McDonalds,Hamburger,Beef,280,10,4,30,590,35,2
49,McDonalds,Cheeseburger,Beef,330,14,6,45,830,36,2
50,McDonalds,QuarterPounder,Beef,430,21,8,70,840,37,2
51,McDonalds,QuarterPounderwithCheese,Beef,530,30,13,95,1310,38,2
52,McDonalds,BigMac,Beef,590,34,11,85,1090,47,3
53,McDonalds,BigNTasty,Beef,540,32,10,80,970,39,2
54,McDonalds,BigNTastywithCheese,Beef,590,37,12,95,1210,40,2
55,McDonalds,CrispyChicken,Chicken,500,26,5,50,1100,46,2
56,McDonalds,FiletOFish,Fish,470,26,5,50,890,45,1
57,McDonalds,ChickenMcGrill,Chicken,400,17,3,60,890,37,2
58,McDonalds,ChickenMcGrill(plainw/omayo),Chicken,300,6,2,50,810,37,2
59,McDonalds,SmallFrenchFries,Side,210,10,2,0,135,26,2
60,McDonalds,MediumFrenchFries,Side,450,22,4,0,290,27,5
61,McDonalds,LargeFrenchFries,Side,540,26,5,0,350,68,6
62,McDonalds,SuperSizeFrenchFries,Side,610,29,7,0,390,77,7
63,McDonalds,ChickenMcNuggets(4piece),Chicken,210,13,3,35,460,12,1
64,McDonalds,ChickenMcNuggets(6piece),Chicken,310,20,4,50,680,18,2
65,McDonalds,ChickenMcNuggets(9piece),Chicken,460,29,6,75,1020,27,2
66,KFC,OriginalRecipeWholeWing,Chicken,145,9,3,60,370,5,0
67,KFC,OriginalRecipeBreast,Chicken,370,19,6,145,1145,11,0
68,KFC,OriginalRecipeDrumstick,Chicken,140,8,2,75,440,4,0
69,KFC,OriginalRecipeThigh,Chicken,360,25,7,165,1060,12,0
70,KFC,ExtraCrispyWholeWing,Chicken,190,12,4,55,390,10,0
71,KFC,ExtraCrispyBreast,Chicken,470,28,8,135,1230,19,0
72,KFC,ExtraCrispyDrumstick,Chicken,160,10,3,70,415,5,0
73,KFC,ExtraCrispyThigh,Chicken,370,26,7,120,710,12,0
74,KFC,HotSpicyWholeWing,Chicken,180,11,3,60,420,9,0
75,KFC,HotSpicyBreast,Chicken,450,27,8,130,1450,20,0
76,KFC,HotSpicyDrumstick,Chicken,140,9,3,65,380,4,0
77,KFC,HotSpicyThigh,Chicken,390,28,8,125,1240,14,0
78,KFC,OriginalRecipew/sauceSandwich,Chicken,450,27,5,60,1010,22,0
79,KFC,TripleCrunchw/sauceSandwich,Chicken,560,37,8,70,865,29,1
80,KFC,TripleCrunchZingerw/sauceSandwich,Chicken,640,40,8,405,920,38,1
81,KFC,TenderRoastw/sauceSandwich,Chicken,400,19,3,65,820,24,1
82,KFC,HoneyBBQFlavoredSandwich,Chicken,300,6,1,50,780,40,1
83,KFC,TwisterSandwich,Chicken,670,38,7,60,1650,55,3
84,KFC,BlazinTwisterSandwich,Chicken,719,43,12,70,1986,56,4
85,KFC,CrispyCaesarTwisterSandwich,Chicken,744,41,9,55,1616,66,5
86,KFC,HoneyBBQCrunchMeltSandwich,Chicken,556,26,5,60,1010,48,2
87,KFC,ColonelsCrispyStrips(3),Chicken,400,24,5,75,1250,17,0
88,KFC,SpicyCrispyStrips(3),Chicken,335,15,4,70,1140,23,0
89,KFC,HoneyBBQStrips(3),Chicken,377,15,4,45,1709,33,4
90,KFC,BlazinStrips(3),Chicken,315,16,4,56,1541,21,1
91,KFC,PopcornChickenKids,Chicken,280,18,4,30,640,16,0
92,KFC,PopcornChickenIndividual,Chicken,450,30,7,50,1030,25,0
93,KFC,PopcornChickenLarge,Chicken,660,44,10,75,1530,37,0
94,KFC,ChunckyChickenPotPie(afterbaking),Chicken,830,48,13,105,2230,69,2
95,KFC,HotWingsPieces(6),Chicken,460,30,8,125,820,22,0
96,KFC,HoneyBBQWingsw/sauce(6),Chicken,510,31,8,135,970,36,0
97,KFC,MashedPotatoesw/oGravy,Side,100,4,1,0,240,15,1
98,KFC,MashedPotatoesw/Gravy,Side,120,5,1,0,460,17,0
99,KFC,PotatoWedges,Side,240,12,3,0,830,30,3
100,KFC,MacaroniCheese,Side,140,6,2,5,700,16,1
101,KFC,CornontheCob3,Side,90,1,0,0,0,19,2
102,KFC,CornontheCob5,Side,180,2,0,0,0,37,4
103,KFC,BBQBakedBeans,Side,230,1,1,0,720,46,7
104,KFC,ColeSlaw,Side,190,11,2,6,300,22,3
105,KFC,PotatoSalad,Side,190,10,2,5,530,24,3
106,KFC,GreenBeans,Side,45,2,1,5,730,7,3
107,KFC,MeanGreens,Side,70,3,1,10,650,11,5
108,KFC,Biscuits(1),Side,190,10,3,0,560,21,1
109,KFC,DoubleChocolateChipCake,Dessert,320,16,4,55,230,41,1
110,KFC,ParfaitFudgeBrownie,Dessert,280,10,4,145,190,44,1
111,KFC,ParfaitLemonCreme,Dessert,410,14,8,20,290,62,4
112,KFC,ParfaitChocolateCream,Dessert,290,15,11,15,330,37,2
113,KFC,ParfaitStrawberryShortcake,Dessert,200,7,6,10,220,33,1
114,KFC,PecanPieSlice,Dessert,410,18,4,60,470,50,0
115,KFC,ApplePieSlice,Dessert,300,12,3,0,410,46,1
116,KFC,StrawberryCremePieSlice,Dessert,270,15,8,5,230,32,0
117,TacoBell,TacoSupreme,Beef,220,14,7,40,360,14,3
118,TacoBell,SoftTacoBeef,Beef,210,10,5,25,620,21,2
119,TacoBell,SoftTacoChicken,Beef,190,6,3,30,550,19,0
120,TacoBell,SoftTacoSupremeBeef,Beef,260,14,7,40,630,22,3
121,TacoBell,SoftTacoSupremeChicken,Chicken,230,10,5,45,570,21,1
122,TacoBell,GrilledSteakSoftTaco,Beef,280,17,5,30,650,21,1
123,TacoBell,DoubleDeckerTaco,Beef,340,14,5,25,800,39,6
124,TacoBell,DoubleDeckerTacoSupreme,Beef,380,18,8,40,820,40,6
125,TacoBell,BurritoSupremeBeef,Beef,440,18,8,40,1330,51,7
126,TacoBell,BurritoSupremeChicken,Chicken,410,14,6,45,1270,50,5
127,TacoBell,BurritoSupremeSteak,Beef,420,16,7,35,1260,50,6
128,TacoBell,FiestaBurritoBeef,Beef,390,15,5,25,1150,50,5
129,TacoBell,FiestaBurritoChicken,Chicken,370,12,4,30,1090,48,3
130,TacoBell,FiestaBurritoSteak,Beef,370,13,4,25,1080,48,4
131,TacoBell,GrilledStuftBurritoBeef,Beef,730,33,11,55,2080,79,10
132,TacoBell,GrilledStuftBurritoChicken,Chicken,680,26,7,70,1950,76,7
