ZIP,HospID,City,State,Beds,RBeds,Outpatients,Admin,Inpatient,Hip95,Knee95,SalesYr,Sales12,Teach,Trauma,Rehab,Hip96,Knee96,Femur96,logBeds,logOut,logRBeds,logAdmin,logInpat,logHip95,logKnee95,logSales,logSales12,logHip96,logKnee96,logFemur96
919,44604, San Juan, PR,386,0,0,12975,4106,2,2,90,101,0,0,0,101,137,100,5.958424693,0,0,9.470856776,8.320448114,1.098612289,1.098612289,4.510859507,4.624972813,4.624972813,4.927253685,4.615120517
935,5004, San Juan, PR,311,0,118065,11309,21049,0,0,70,26,1,0,0,66,40,330,5.743003188,11.67899907,0,9.333442569,9.954655839,0,0,4.262679877,3.295836866,4.204692619,3.713572067,5.802118375
1060,157014, Northampton, MA,175,0,114912,7365,5862,0,1,93,60,0,0,0,97,64,58,5.170483995,11.6519306,0,8.904630097,8.676416697,0,0.693147181,4.543294782,4.110873864,4.584967479,4.17438727,4.077537444
1104,194014, Springfield, MA,324,0,95702,10406,13648,28,29,122,94,0,0,0,152,95,116,5.783825182,11.46900492,0,9.250233936,9.521421538,3.36729583,3.401197382,4.812184355,4.553876892,5.030437921,4.564348191,4.762173935
1199,195514, Springfield, MA,507,0,108258,22361,15081,0,7,148,97,1,1,0,166,110,236,6.230481448,11.59228178,0,10.01511837,9.621257259,0,2.079441542,5.003946306,4.584967479,5.117993812,4.709530201,5.468060141
1420,93014, Fitchburg, MA,175,25,26428,5619,5701,6,11,61,48,1,1,1,57,44,40,5.170483995,10.18221717,3.258096538,8.634086943,8.648572269,1.945910149,2.48490665,4.127134385,3.891820298,4.060443011,3.80666249,3.713572067
1602,232014, Worcester, MA,80,80,0,907,0,318,491,0,0,0,0,1,0,0,0,4.394449155,0,4.394449155,6.811244379,0,5.765191103,6.198478716,0,0,0,0,0
1604,235014, Worcester, MA,416,0,58206,18274,11847,0,0,130,69,1,0,0,137,83,172,6.033086222,10.9717609,0,9.813289285,9.379914356,0,0,4.875197323,4.248495242,4.927253685,4.430816799,5.153291594
1605,238014, Worcester, MA,211,0,9275,7571,15766,277,513,209,143,1,0,0,207,178,177,5.356586275,9.135185698,0,8.932212512,9.665674427,5.627621114,6.242223265,5.347107531,4.9698133,5.33753808,5.187385806,5.18178355
1655,235514, Worcester, MA,353,0,322761,15863,13573,261,325,96,66,1,1,0,73,35,144,5.869296913,12.68467049,0,9.67180767,9.515911477,5.568344504,5.786897381,4.574710979,4.204692619,4.304065093,3.583518938,4.976733742
1701,96014, Framingham, MA,290,0,45625,10716,13296,0,0,76,38,1,0,0,116,68,143,5.673323267,10.72823301,0,9.279586545,9.495293725,0,0,4.343805422,3.663561646,4.762173935,4.234106505,4.9698133
1742,85014, Concord, MA,220,0,91250,9611,8644,8,11,77,26,0,0,0,59,34,66,5.398162702,11.42136923,0,9.170767597,9.064736398,2.197224577,2.48490665,4.356708827,3.295836866,4.094344562,3.555348061,4.204692619
1801,230514, Woburn, MA,198,198,0,2739,0,3,12,0,0,0,0,1,0,0,0,5.293304825,0,5.293304825,7.915713199,0,1.386294361,2.564949357,0,0,0,0,0
1803,69014, Burlington, MA,272,0,480603,12270,11835,2,4,168,151,1,0,0,206,146,58,5.609471795,13.08279893,0,9.414994034,9.378901014,1.098612289,1.609437912,5.129898715,5.023880521,5.332718793,4.990432587,4.077537444
1830,910014, Haverhill, MA,82,82,0,440,0,50,82,0,0,0,0,1,0,0,0,4.418840608,0,4.418840608,6.089044875,0,3.931825633,4.418840608,0,0,0,0,0
1830,108014, Haverhill, MA,151,0,25550,6199,5257,12,16,40,15,0,0,0,39,19,87,5.023880521,10.14843173,0,8.732304571,8.567506005,2.564949357,2.833213344,3.713572067,2.772588722,3.688879454,2.995732274,4.477336814
1841,117014, Lawrence, MA,312,0,66406,13464,12665,95,129,46,39,0,0,0,57,32,83,5.746203191,11.10355775,0,9.507849005,9.446676517,4.564348191,4.86753445,3.850147602,3.688879454,4.060443011,3.496507561,4.430816799
1844,135514, Methuen, MA,290,0,92768,8662,5388,56,96,55,26,0,0,0,49,40,80,5.673323267,11.43786781,0,9.066816362,8.592115118,4.043051268,4.574710979,4.025351691,3.295836866,3.912023005,3.713572067,4.394449155
1854,120014, Lowell, MA,242,0,181709,11194,7649,2,13,35,17,0,1,0,35,22,53,5.493061443,12.11016729,0,9.323222529,8.942460927,1.098612289,2.63905733,3.583518938,2.890371758,3.583518938,3.135494216,3.988984047
1890,228014, Winchester, MA,198,0,137751,10020,6926,1,5,59,23,1,0,0,65,32,64,5.293304825,11.83321025,0,9.21243817,8.843182098,0.693147181,1.791759469,4.094344562,3.17805383,4.189654742,3.496507561,4.17438727
1915,13014, Beverly, MA,242,0,18876,11195,8547,0,0,96,68,0,0,0,110,77,107,5.493061443,9.845699529,0,9.323311851,9.053452616,0,0,4.574710979,4.234106505,4.709530201,4.356708827,4.682131227
