Country Name,Country Code,EducExpense,AdolescentBirths,"Birth Rate (per 1,000)",Business Start  (% of GNI per capita),"Death rate, crude (per 1,000)",Diabetes (% of population ages 20 to 79),Business Ease (1=most friendly),"Employment to population ratio, 15+, female (%)","Employment to population ratio, 15+, male (%)","Fertility rate, total (births per woman)",Fixed broadband subscriptions (per 100),Fixed telephone subscriptions (per 100),Percent Forest,GDP Growth,GDP per capita,"Immunization, DPT (%)","Immunization, measles (%)",Import Value (100),Import Volume (100),Percent Sanitation,Percent Imp Water,"TB (per 100,000)",Percent Internet,Inflation,Percent Migrant,Number of Tourists,% Female Labor Participation,% Male Labor Participation,% Labor Force Female,Life Exp Female,Life Exp Male,Cell (per 100),Traffic Mortality (per 100000),Infant Mortality (per 1000),Under 5 yrs Mortality,Air Pollution (micrograms per m^3),Population ages 0-14 (% of total),Population ages 65+ (% of total),Population density (people per sq. km of land area) [EN.POP.DNST],Annual Pop Growth (%),Percent Rural,Rural population growth (annual %),Secure Servers (per million),"Suicides (per 100,000)","Survival to age 65, female (%)","Survival to age 65, male (%)",Alcohol (liters/pp),Total Tax Rate (% of profits),"Unemployment, female (%)","Unemployment, male (%)",Urban population (% of total),Urban population growth (annual %)
Afghanistan,AFG,1.6,71.2034,33.314,19,8.034,8.8,182,16.72200012,77.18099976,4.653,0.326255793,0.343677097,2.067824648,0.840718528,594.3230812,78,68,656.7642928,424.8196109,31.9,55.3,189,8.26,3.817148924,1.175546927,,19.0510006,83.64600372,17.4909385,61.97,59.524,61.57768158,15.2,66.3,91.1,48.01676483,44.04194947,2.469089724,49.82164936,2.802986283,73.297,2.230252873,1.414228777,5.5,61.61129,55.73102,1,36.5,12.22700024,7.729000092,26.703,4.392151969
Albania,ALB,3.227126018,21.8354,13.632,10.3,7.463,10.3,90,33.35599899,50.38700104,1.793,7.596854658,7.091628008,28.15693431,2.800000001,3945.217582,98,98,395.8823475,263.432071,93.2,95.1,19,63.2529327,0.159535419,1.98903641,4131000,40.32699966,60.6609993,40.82275995,80.557,75.593,106.3802068,13.6,12.5,14,17.93662454,18.54620412,12.39633387,105.4440511,-0.155183807,42.593,-2.47127694,37.72713727,4.3,90.83192,84.79198,6.6,36.5,17.2859993,16.93799973,57.407,1.598580321
Algeria,DZA,4.4671956,10.4716,23.692,10.9,5.114,7.5,163,13.67199993,63.98500061,2.805,5.584923796,8.041627955,0.821247986,3.763466957,4154.119692,95,95,561.5636245,491.6545084,87.6,83.6,75,38.2,-7.263727272,0.611072023,1710000,16.81900024,70.44300079,19.20094891,77.456,72.744,106.3843412,23.7,21.9,25.5,35.56453306,28.53871044,5.938038072,16.6544217,1.86309983,29.273,-0.159153932,2.546227966,3.1,85.55812,77.47755,0.6,72.7,18.71500015,9.166999817,70.727,2.712199755
Angola,AGO,3.57,161.9322,44.998,22.5,13.424,4.1,181,55.5890007,72.30500031,5.996,0.672968878,1.24857986,46.40731531,3.006980545,4101.472152,64,55,712.6228025,578.6190982,51.6,49,370,12.4,-4.017647716,0.42700468,592000,59.88100052,77.14199829,44.59706208,54.216,51.19,60.84389581,24.4,96,156.9,36.39542768,47.65044117,2.313470552,20.07056549,3.226505657,55.95,1.849081878,5.475187529,20.5,50.24344,44.45537,7.6,49,7.168000221,6.269999981,44.05,5.003843209
Argentina,ARG,5.134051915,63.7888,17.359,9.7,7.55,6,118,44.64199829,70.11599731,2.308,16.26343491,23.89549413,9.906858285,2.647271419,13467.41564,94,89,237.6834698,188.2003093,96.4,99.1,25,69.40092102,24.54535652,4.805292335,5736000,48.38600159,74.46800232,41.0370548,80.21,72.643,146.7017843,14.1,11.1,12.5,13.44396548,25.19419749,10.92655359,15.86469604,1.010993037,8.249,-0.755352893,63.29353725,14.2,87.53282,76.29901,7.6,137.6,7.738999844,5.843999863,91.751,1.171338102
Armenia,ARM,2.1,22.4606,13.008,1,9.316,6.4,43,44.46900177,62.34500122,1.517,9.577593598,18.44362222,11.66139796,3,3489.12769,94,97,368.9760744,248.4447392,89.5,100,41,58.24933222,1.178326866,6.335892888,1192000,54.89099884,73.5759964,47.53490131,78.719,71.062,115.8898894,15.7,12.6,14.1,25.50768535,18.38389482,10.82598339,105.9962065,0.383740747,37.327,0.756748326,49.04377886,5.4,87.3273,73.15527,5.5,20,18.98600006,15.26500034,62.673,0.162243032
Australia,AUS,5.05,13.844,12.7,0.7,6.6,5.1,13,55.01399994,66.62999725,1.833,28.54145037,37.95494572,16.23875662,2.240028575,56290.64681,93,91,291.3781461,226.005864,100,100,6,84.56051935,-0.65182248,28.21840969,7444000,58.57099915,70.92099762,45.58124144,84.5,80.5,132.8005094,5.4,3,3.8,5.897734951,18.6980894,15.04487489,3.096696562,1.392847466,10.577,0.133900265,1460.418755,11.8,93.0261,88.76538,12.6,47.6,6.072000027,6.050000191,89.423,1.542810082
Austria,AUT,5.298103441,6.786,9.8,0.3,9.6,6.9,18,51.82500076,62.00699997,1.47,28.69325283,42.18276252,46.88389903,0.963058399,43636.7537,98,96,214.9616056,128.2341418,100,100,7.6,83.9263,1.887389371,17.46572625,26719000,54.72800064,66.02500153,46.53855174,84.2,79.6,157.4082637,5.7,2.9,3.5,17.01299421,14.20763979,18.75913005,104.6782836,1.126802753,34.032,0.982939834,1495.768991,16.4,92.64637,86.48274,8.5,51.7,5.304999828,6.085999966,65.968,1.201100706
Azerbaijan,AZE,2.494591217,60.9936,17.2,1.2,5.7,6.5,61,58.20399857,65.54699707,1.97,19.76010603,18.68413059,13.78367589,1.1,5497.488414,96,98,833.9274744,529.7720987,89.3,87,69,77,-8.845816649,2.709061584,1922000,61.85699844,68.32099915,48.79956764,74.092,67.76,111.2826317,10,27.9,31.7,30.3540129,21.91854638,5.626089813,116.7310768,1.191209858,45.38,0.608947453,16.37417519,3.3,82.43695,69.51233,2.1,39.8,5.90500021,4.059999943,54.62,1.677563543
"Bahamas, The",BHS,3.8356,28.699,15.044,10.8,6.234,13.2,120,58.18099976,66.5059967,1.861,20.90522747,31.20250601,51.44855145,-1.663644107,22817.23086,95,94,152.4553565,86.01268733,92,98.4,18,78,4.474073113,15.28430309,1484000,69.43099976,79.13700104,48.36356762,78.491,72.45,80.29307262,11,9.9,12.1,13.71948341,20.92114046,8.280522346,38.76313686,1.287833609,17.126,0.862979822,337.6123334,1.8,83.38201,73.25775,4.2,33.8,16.20299911,15.96100044,82.874,1.375855376
